ko_id,S2_2016_0,S2_2017_0,S5_2016_0,S5_2017_0,S2_2016_400,S2_2017_400,S5_2016_400,S5_2017_400
K01673,0.000448720730436099,0.000509346301709557,0.000405699376761819,0.000498875531354407,0.000424129839293685,0.000473830342456435,0.000418029055088779,0.000500940766759975
K01674,2.58522231526971e-05,2.43512176116123e-05,2.19837100708375e-05,1.75885604003156e-05,1.75949059968996e-05,2.55079955971654e-05,2.98000910558338e-05,1.80338676033591e-05
K01725,4.06249220970954e-05,3.75414604845689e-05,2.59807482655352e-05,4.31719209825929e-05,3.05595735735624e-05,2.47350260336149e-05,2.64889698274078e-05,3.50658536731983e-05
K01915,0.00261569100684253,0.00271516076369477,0.0027319756060759,0.00267266170082978,0.00271239366657468,0.00262964245519868,0.0024734075576342,0.00262693338088931
K02305,2.49289294686722e-05,6.08780440290307e-06,2.29829696195119e-05,2.23854405094926e-05,2.87074782054678e-05,1.31404825803579e-05,3.06278713629403e-05,2.90545644720786e-05
K02567,6.1860676829668e-05,2.73951198130638e-05,4.59659392390239e-05,3.11797207096504e-05,5.92670517790302e-05,4.01944173046242e-05,5.46335002690286e-05,6.31185366117569e-05
K02568,1.47726989443983e-05,7.10243847005358e-06,1.29903741327676e-05,7.19532016376549e-06,1.29646675766629e-05,6.18375650840372e-06,1.57278258350234e-05,1.30244599357594e-05
K02575,0.000196661554697303,0.000175531693617039,0.000195854871540189,0.000187078324257903,0.000215769110383032,0.000192469421324066,0.000178800546335003,0.00019536689903639
K02586,2.76988105207469e-06,2.02926813430102e-06,2.9977786460233e-06,9.59376021835398e-06,3.70419073618939e-06,7.72969563550466e-07,1.65556061421299e-06,1.10206968687195e-05
K02588,1.84658736804979e-06,2.02926813430102e-06,2.9977786460233e-06,7.19532016376549e-06,1.85209536809469e-06,0,2.48334092131948e-06,1.20225784022394e-05
K02591,9.23293684024896e-07,5.07317033575256e-06,1.99851909734886e-06,8.79428020015782e-06,2.77814305214204e-06,3.86484781775233e-06,1.65556061421299e-06,1.20225784022394e-05
K03385,0.000111718535767012,3.957072861887e-05,0.000118911886292257,5.75625613101239e-05,0.000106495483665445,6.18375650840372e-05,0.000123339265758868,0.000103193797952555
K04561,0.000221590484165975,0.000210029251900156,0.000198852650186212,0.000251836205731792,0.00024077239785231,0.000204836934340873,0.000201978394933985,0.000254477909514067
K05601,0,2.02926813430102e-06,0,3.99740009098083e-06,1.85209536809469e-06,0,0,9.01693380167955e-06
K10535,5.53976210414937e-06,1.01463406715051e-06,2.9977786460233e-06,3.99740009098083e-06,3.70419073618939e-06,2.3189086906514e-06,9.10558337817143e-06,3.00564460055985e-06
K10944,3.04686915728216e-05,3.34829242159669e-05,2.39822291681864e-05,2.79818006368658e-05,3.05595735735624e-05,2.93728434149177e-05,3.06278713629403e-05,2.60489198715187e-05
K10945,3.69317473609958e-05,3.24682901488164e-05,2.9977786460233e-05,3.35781607642389e-05,2.96335258895151e-05,3.09187825420186e-05,2.81445304416208e-05,3.20602090726384e-05
K10946,3.97016284130705e-05,5.17463374246761e-05,3.79718628496284e-05,3.91745208916121e-05,5.00065749385567e-05,3.40106607962205e-05,3.80778941268987e-05,4.20790244078379e-05
K15371,0.000763563876688589,0.000736624332751272,0.000772427631125336,0.00073792005679506,0.000769545625443345,0.000682532124615061,0.000721824427796863,0.000696307665796366
K15576,0.00013572417155166,7.60975550362884e-05,0.000141894855911769,7.51511217104395e-05,0.000124090389662345,7.34321085372942e-05,0.000122511485451761,9.71825087514352e-05
K15577,9.32526620865145e-05,4.76878011560741e-05,9.49296571240711e-05,5.91615213465162e-05,7.22317193556931e-05,5.33348998849821e-05,8.69169322461819e-05,5.81091289441571e-05
K15578,0.000108948654714938,5.88487758947297e-05,8.39378020886523e-05,5.83620413283201e-05,7.77880054599772e-05,5.48808390120831e-05,8.85724928603948e-05,5.91110104776771e-05
K15579,9.23293684024896e-07,0,1.99851909734886e-06,0,0,0,8.27780307106494e-07,1.00188153351995e-06
K15864,3.04686915728216e-05,7.10243847005358e-06,3.79718628496284e-05,7.99480018196165e-06,3.24116689416571e-05,1.62323608345598e-05,3.22834319771533e-05,2.50470383379988e-05
K15876,5.07811526213693e-05,1.92780472758597e-05,6.09548324691404e-05,2.3984400545885e-05,4.63023842023673e-05,2.70539347242663e-05,6.2083523032987e-05,4.40827874748778e-05
